tweet_id,timestamp,source,rating_numerator,rating_denominator,jpg_url,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,retweet_counts,favorite_counts,dog_stage
667793409583771648,2015-11-20 19:55:30,Twitter for iPhone,8,10,https://pbs.twimg.com/media/CUR6jqVWsAEgGot.jpg,dalmatian,0.5350729999999999,True,English_setter,0.451219,True,Great_Dane,0.00816361,True,286,606,
667773195014021121,2015-11-20 18:35:10,Twitter Web Client,8,10,https://pbs.twimg.com/media/CURoLrOVEAAaWdR.jpg,West_Highland_white_terrier,0.360465,True,pug,0.0934941,True,ice_bear,0.0690382,False,44,204,
667728196545200128,2015-11-20 15:36:22,Twitter Web Client,11,10,https://pbs.twimg.com/media/CUQ_QahUAAAVQjn.jpg,kuvasz,0.360159,True,golden_retriever,0.293744,True,Labrador_retriever,0.270673,True,126,324,
667546741521195010,2015-11-20 03:35:20,Twitter Web Client,9,10,https://pbs.twimg.com/media/CUOaOWXWcAA0_Jy.jpg,toy_poodle,0.787424,True,miniature_poodle,0.202225,True,teddy,0.00404722,False,106,303,
667544320556335104,2015-11-20 03:25:43,Twitter Web Client,10,10,https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg,Pomeranian,0.412893,True,Pembroke,0.312958,True,Chihuahua,0.0719604,True,456,760,
667538891197542400,2015-11-20 03:04:08,Twitter Web Client,9,10,https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg,Yorkshire_terrier,0.618957,True,silky_terrier,0.300313,True,Australian_terrier,0.053412,True,58,174,
667534815156183040,2015-11-20 02:47:56,Twitter Web Client,8,10,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg,Pembroke,0.435254,True,Cardigan,0.30740700000000004,True,cocker_spaniel,0.0331583,True,443,715,
667530908589760512,2015-11-20 02:32:25,Twitter Web Client,10,10,https://pbs.twimg.com/media/CUOL0uGUkAAx7yh.jpg,golden_retriever,0.633037,True,kuvasz,0.14639100000000002,True,Labrador_retriever,0.0461837,True,206,410,
667517642048163840,2015-11-20 01:39:42,Twitter Web Client,8,10,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,Italian_greyhound,0.125176,True,standard_poodle,0.08457150000000001,True,cocker_spaniel,0.0813469,True,165,332,
667509364010450944,2015-11-20 01:06:48,Twitter Web Client,12,10,https://pbs.twimg.com/media/CUN4Or5UAAAa5K4.jpg,beagle,0.636169,True,Labrador_retriever,0.119256,True,golden_retriever,0.08254919999999999,True,1857,6041,
667502640335572993,2015-11-20 00:40:05,Twitter Web Client,11,10,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,Labrador_retriever,0.996709,True,golden_retriever,0.00168821,True,beagle,0.0007116669999999999,True,193,485,
667495797102141441,2015-11-20 00:12:54,Twitter Web Client,9,10,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg,Chihuahua,0.143957,True,Christmas_stocking,0.118651,False,ski_mask,0.0924817,False,231,456,
667491009379606528,2015-11-19 23:53:52,Twitter Web Client,7,10,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,borzoi,0.852088,True,ice_bear,0.13226400000000002,False,weasel,0.00572998,False,189,456,
667470559035432960,2015-11-19 22:32:36,Twitter Web Client,11,10,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,toy_poodle,0.304175,True,pug,0.223427,True,Lakeland_terrier,0.07331649999999999,True,85,225,
667455448082227200,2015-11-19 21:32:34,Twitter Web Client,7,10,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,Tibetan_terrier,0.676376,True,Irish_terrier,0.054933400000000014,True,Yorkshire_terrier,0.0405755,True,53,171,
667453023279554560,2015-11-19 21:22:56,Twitter Web Client,11,10,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,Labrador_retriever,0.8256700000000001,True,French_bulldog,0.0566394,True,Staffordshire_bullterrier,0.0540184,True,73,279,
667435689202614272,2015-11-19 20:14:03,Twitter for iPhone,12,10,https://pbs.twimg.com/media/CUM1OHCW4AEgGSi.jpg,Rottweiler,0.999091,True,miniature_pinscher,0.000450355,True,black-and-tan_coonhound,0.00015714,True,76,266,
667405339315146752,2015-11-19 18:13:27,Twitter for iPhone,7,10,https://pbs.twimg.com/media/CUMZnmhUEAEbtis.jpg,Saint_Bernard,0.381377,True,Leonberg,0.127998,True,golden_retriever,0.0693568,True,196,409,
667393430834667520,2015-11-19 17:26:08,Twitter for iPhone,8,10,https://pbs.twimg.com/media/CUMOyd3XIAAl13H.jpg,papillon,0.557009,True,Border_collie,0.271963,True,collie,0.0734729,True,50,168,
667211855547486208,2015-11-19 05:24:37,Twitter for iPhone,9,10,https://pbs.twimg.com/media/CUJppKJWoAA75NP.jpg,golden_retriever,0.462556,True,Labrador_retriever,0.454937,True,kuvasz,0.0241933,True,209,426,
667200525029539841,2015-11-19 04:39:35,Twitter for iPhone,11,10,https://pbs.twimg.com/media/CUJfVMPXIAAgbue.jpg,Siberian_husky,0.694904,True,malamute,0.232006,True,Eskimo_dog,0.0506351,True,227,544,
667192066997374976,2015-11-19 04:05:59,Twitter for iPhone,12,10,https://pbs.twimg.com/media/CUJXpRBXIAAN0yz.jpg,Rottweiler,0.28364,True,miniature_pinscher,0.148112,True,black-and-tan_coonhound,0.0955848,True,86,331,
667182792070062081,2015-11-19 03:29:07,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUJPNjOWsAAZRqP.jpg,golden_retriever,0.949892,True,Irish_setter,0.0105638,True,Chesapeake_Bay_retriever,0.00582141,True,5255,12493,
667177989038297088,2015-11-19 03:10:02,Twitter for iPhone,8,10,https://pbs.twimg.com/media/CUJK18UWEAEg7AR.jpg,vizsla,0.25924899999999995,True,Chesapeake_Bay_retriever,0.176293,True,Weimaraner,0.112369,True,48,166,
667176164155375616,2015-11-19 03:02:47,Twitter for iPhone,4,10,https://pbs.twimg.com/media/CUJJLtWWsAE-go5.jpg,soft-coated_wheaten_terrier,0.318981,True,Lakeland_terrier,0.215218,True,toy_poodle,0.106014,True,386,524,
667174963120574464,2015-11-19 02:58:01,Twitter for iPhone,9,10,https://pbs.twimg.com/media/CUJIFoJWsAAL3Dc.jpg,toy_poodle,0.266437,True,Chihuahua,0.243223,True,bluetick,0.0728063,True,69,218,
667171260800061440,2015-11-19 02:43:18,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUJEuRIXIAAPDLt.jpg,giant_schnauzer,0.8412649999999999,True,Lakeland_terrier,0.0527442,True,Irish_water_spaniel,0.0344017,True,72,186,
667165590075940865,2015-11-19 02:20:46,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUI_kHBWsAAAef5.jpg,miniature_pinscher,0.140173,True,Rottweiler,0.13409400000000002,True,beagle,0.08189980000000001,True,965,2376,
667160273090932737,2015-11-19 01:59:39,Twitter for iPhone,11,10,https://pbs.twimg.com/media/CUI6uuaW4AAvCIs.jpg,golden_retriever,0.471351,True,miniature_poodle,0.0919921,True,standard_poodle,0.08738539999999999,True,50,219,
667152164079423490,2015-11-19 01:27:25,Twitter for iPhone,12,10,https://pbs.twimg.com/media/CUIzWk_UwAAfUNq.jpg,toy_poodle,0.535411,True,Pomeranian,0.08754400000000001,True,miniature_poodle,0.06205,True,14567,42134,
